                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1076,                0.04762,                0.28571,                 3.0438,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                 3.1344,                0.04762,                0.30159,                 3.0438,             2.1067e-05,             2.1067e-05,             2.1067e-05
                      3,                 3.1252,                0.06349,                0.33333,                 3.0436,             3.4522e-05,             3.4522e-05,             3.4522e-05
                      4,                  3.068,                0.06349,                0.33333,                 3.0437,             4.7506e-05,             4.7506e-05,             4.7506e-05
                      5,                 3.0601,                0.07937,                0.31746,                 3.0437,             6.0019e-05,             6.0019e-05,             6.0019e-05
                      6,                 2.9779,                0.06349,                0.26984,                 3.0436,              7.206e-05,              7.206e-05,              7.206e-05
                      7,                 2.9295,                0.09524,                0.28571,                 3.0435,             8.3631e-05,             8.3631e-05,             8.3631e-05
                      8,                 2.8632,                0.06349,                0.28571,                 3.0432,              9.473e-05,              9.473e-05,              9.473e-05
                      9,                 2.8084,                0.06349,                0.30159,                  3.043,             0.00010536,             0.00010536,             0.00010536
                     10,                 2.7298,                0.04762,                0.34921,                 3.0427,             0.00011551,             0.00011551,             0.00011551
                     11,                 2.6952,                0.04762,                0.33333,                 3.0422,              0.0001252,              0.0001252,              0.0001252
                     12,                 2.6231,                0.06349,                0.33333,                 3.0417,             0.00013441,             0.00013441,             0.00013441
                     13,                 2.5499,                0.07937,                0.36508,                 3.0411,             0.00014316,             0.00014316,             0.00014316
                     14,                 2.4716,                0.06349,                0.36508,                 3.0402,             0.00015143,             0.00015143,             0.00015143
                     15,                   2.41,                0.09524,                0.36508,                 3.0393,             0.00015923,             0.00015923,             0.00015923
                     16,                 2.2895,                0.09524,                0.39683,                  3.038,             0.00016656,             0.00016656,             0.00016656
                     17,                 2.1997,                0.11111,                0.38095,                 3.0365,             0.00017342,             0.00017342,             0.00017342
                     18,                 2.0804,                0.11111,                0.39683,                 3.0347,              0.0001798,              0.0001798,              0.0001798
                     19,                 2.0112,                0.09524,                 0.4127,                 3.0327,             0.00018572,             0.00018572,             0.00018572
                     20,                 1.9912,                0.11111,                0.42857,                 3.0306,             0.00019116,             0.00019116,             0.00019116
                     21,                 1.8855,                0.15873,                0.44444,                 3.0282,             0.00019614,             0.00019614,             0.00019614
                     22,                 1.7912,                0.12698,                0.47619,                 3.0255,             0.00020064,             0.00020064,             0.00020064
                     23,                 1.6412,                0.14286,                0.50794,                  3.023,             0.00020467,             0.00020467,             0.00020467
                     24,                 1.4737,                0.15873,                0.50794,                 3.0194,             0.00020823,             0.00020823,             0.00020823
                     25,                 1.4654,                0.14286,                0.55556,                 3.0147,             0.00021132,             0.00021132,             0.00021132
                     26,                 1.4045,                0.14286,                0.60317,                 3.0097,             0.00021393,             0.00021393,             0.00021393
                     27,                 1.2507,                 0.1746,                0.61905,                 3.0042,             0.00021608,             0.00021608,             0.00021608
                     28,                 1.1989,                 0.1746,                0.61905,                 2.9982,             0.00021775,             0.00021775,             0.00021775
                     29,                 1.0918,                0.22222,                0.63492,                 2.9935,             0.00021896,             0.00021896,             0.00021896
                     30,                   1.01,                 0.2381,                0.68254,                 2.9905,             0.00021969,             0.00021969,             0.00021969
                     31,                0.91159,                0.26984,                0.68254,                 2.9884,             0.00021995,             0.00021995,             0.00021995
                     32,                0.77843,                0.25397,                0.71429,                 2.9859,             0.00021974,             0.00021974,             0.00021974
                     33,                0.75319,                0.22222,                0.74603,                 2.9824,             0.00021906,             0.00021906,             0.00021906
                     34,                0.73721,                0.22222,                0.77778,                 2.9786,              0.0002179,              0.0002179,              0.0002179
                     35,                0.67931,                0.22222,                0.79365,                 2.9746,             0.00021628,             0.00021628,             0.00021628
                     36,                0.53478,                0.20635,                0.84127,                   2.97,             0.00021418,             0.00021418,             0.00021418
                     37,                0.50867,                0.19048,                 0.8254,                 2.9661,             0.00021162,             0.00021162,             0.00021162
                     38,                0.44439,                0.22222,                 0.8254,                  2.963,             0.00020858,             0.00020858,             0.00020858
                     39,                 0.4504,                0.22222,                 0.8254,                 2.9615,             0.00020507,             0.00020507,             0.00020507
                     40,                0.37004,                 0.2381,                0.80952,                 2.9588,             0.00020109,             0.00020109,             0.00020109
                     41,                0.35854,                 0.2381,                0.80952,                  2.955,             0.00019664,             0.00019664,             0.00019664
                     42,                0.32992,                0.25397,                0.80952,                 2.9517,             0.00019171,             0.00019171,             0.00019171
                     43,                0.34741,                0.22222,                0.80952,                 2.9476,             0.00018632,             0.00018632,             0.00018632
                     44,                0.29356,                0.20635,                0.80952,                 2.9463,             0.00018045,             0.00018045,             0.00018045
                     45,                 0.2483,                0.22222,                0.80952,                 2.9441,             0.00017412,             0.00017412,             0.00017412
                     46,                0.25848,                0.22222,                0.84127,                 2.9409,             0.00016731,             0.00016731,             0.00016731
                     47,                0.20303,                0.20635,                0.84127,                 2.9398,             0.00016003,             0.00016003,             0.00016003
                     48,                 0.1842,                0.20635,                0.85714,                 2.9384,             0.00015228,             0.00015228,             0.00015228
                     49,                0.16123,                 0.2381,                0.85714,                 2.9373,             0.00014406,             0.00014406,             0.00014406
                     50,                0.19133,                 0.2381,                0.85714,                 2.9362,             0.00013536,             0.00013536,             0.00013536
                     51,                0.15269,                 0.2381,                0.85714,                 2.9343,             0.00012495,             0.00012495,             0.00012495
                     52,                0.15377,                0.25397,                0.84127,                 2.9328,             0.00012495,             0.00012495,             0.00012495
                     53,                0.15938,                0.25397,                 0.8254,                  2.931,             0.00011317,             0.00011317,             0.00011317
                     54,                0.12696,                0.25397,                0.84127,                 2.9297,             0.00010139,             0.00010139,             0.00010139
                     55,                0.10485,                0.25397,                0.84127,                 2.9297,             8.9607e-05,             8.9607e-05,             8.9607e-05
                     56,                0.11559,                0.26984,                 0.8254,                 2.9295,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     57,                0.11107,                0.26984,                 0.8254,                 2.9289,             6.6045e-05,             6.6045e-05,             6.6045e-05
                     58,                0.12544,                0.25397,                0.80952,                  2.929,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     59,                0.10693,                0.25397,                0.80952,                 2.9288,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     60,                0.13932,                0.25397,                0.80952,                 2.9285,             3.0702e-05,             3.0702e-05,             3.0702e-05
